chr1	100001	110000	chr1	102060	103238	1178
chr1	100001	110000	chr1	103852	104238	386
chr1	10010001	10020000	chr1	10011884	10013739	1855
chr1	10060001	10070000	chr1	10065378	10068052	2674
chr1	10100001	10110000	chr1	10103453	10104751	1298
chr1	10120001	10130000	chr1	10128163	10128642	479
chr1	1020001	1030000	chr1	1023327	1023983	656
chr1	1020001	1030000	chr1	1024042	1027142	3100
chr1	10270001	10280000	chr1	10273116	10275152	2036
chr1	10300001	10310000	chr1	10303036	10304506	1470
chr1	1030001	1040000	chr1	1032197	1035309	3112
chr1	1030001	1040000	chr1	1032197	1035373	3176
chr1	10360001	10370000	chr1	10366659	10367745	1086
chr1	10420001	10430000	chr1	10420543	10426499	5956
chr1	10470001	10480000	chr1	10475254	10477083	1829
chr1	10500001	10510000	chr1	10504243	10506772	2529
chr1	10520001	10530000	chr1	10520379	10520678	299
chr1	10590001	10600000	chr1	10590471	10591056	585
chr1	10590001	10600000	chr1	10594050	10604235	5950
chr1	10600001	10610000	chr1	10594050	10604235	4234
chr1	10630001	10640000	chr1	10636576	10639082	2506
chr1	10640001	10650000	chr1	10641566	10642395	829
chr1	10650001	10660000	chr1	10650205	10652035	1830
chr1	10720001	10730000	chr1	10729942	10730982	58
chr1	10730001	10740000	chr1	10729942	10730982	981
chr1	10730001	10740000	chr1	10733872	10736284	2412
chr1	10780001	10790000	chr1	10788182	10788611	429
chr1	10850001	10860000	chr1	10855094	10857396	2302
chr1	10880001	10890000	chr1	10888009	10891355	1991
chr1	10890001	10900000	chr1	10888009	10891355	1354
chr1	10890001	10900000	chr1	10896738	10897223	485
chr1	10890001	10900000	chr1	10899470	10903722	530
chr1	10900001	10910000	chr1	10899470	10903722	3721
chr1	10950001	10960000	chr1	10951332	10952643	1311
chr1	10990001	11000000	chr1	10998921	11002505	1079
chr1	11000001	11010000	chr1	10998921	11002505	2504
chr1	1100001	1110000	chr1	1105213	1106518	1305
chr1	11050001	11060000	chr1	11053849	11054492	643
chr1	11060001	11070000	chr1	11066317	11067269	952
chr1	11150001	11160000	chr1	11152876	11154149	1273
chr1	11270001	11280000	chr1	11278580	11282742	1420
chr1	11280001	11290000	chr1	11278580	11282742	2741
chr1	11290001	11300000	chr1	11299890	11300195	110
chr1	11300001	11310000	chr1	11299890	11300195	194
